name;staerke;laenge;breite;decor
N_seite_seite;19.0;2231.0;230.0;rot
N_links;19.0;2231.0;613.0;rot
N_boden;19.0;1502.0;613.0;rot
N_deckel;19.0;1770.0;619.0;rot
N_rueckwand;6.0;2250.0;1540.0;weiss_matt
N_bodenleiste;19.0;1502.0;70.0;mintgruen
N_rechts;19.0;2231.0;613.0;rot
N_fachboden_breit;19.0;998.2;594.0;weiss_matt
N_fachboden_seite;19.0;581.0;220.0;rot
N_fachboden_schmal;19.0;594.0;484.8;weiss_matt
N_mitte;19.0;2142.0;613.0;rot
S_fachboden_rechts_seicht;19.0;484.8;261.0;weiss_matt
S_mitte_hinten;19.0;1317.6;653.0;rot
S_fachboden_rechts_tief;19.0;914.0;484.8;weiss_matt
S_fussleiste;19.0;1502.0;70.0;mintgruen
S_rueckwand;6.0;2250.0;1540.0;weiss_matt
S_Dreieck;19.0;1377.2;1349.0;weiss_matt
S_fachboden_links;19.0;998.2;914.0;weiss_matt
S_boden;19.0;1502.0;933.0;rot
S_links;19.0;2250.0;933.0;rot
S_rechts_hinten;19.0;892.2;653.0;rot
S_mitte;19.0;2142.0;280.0;rot
S_deckel;19.0;1502.0;280.0;rot
S_deckel_hinten;19.0;653.0;190.6;rot
S_spezialboden;19.0;998.2;914.0;weiss_matt
S_rechts_vorne;19.0;2250.0;280.0;rot
S_tuerwand;19.0;2250.0;985.0;mintgruen
S_schraege;19.0;1927.8;634.0;weiss_matt
S_hutablage;19.0;835.0;195.0;weiss_matt
S_F_rechts_schub;19.0;481.8;267.9;weiss_matt
S_F_links_schub_oben;19.0;995.2;267.9;weiss_matt
S_F_links_tuer;19.0;1616.2;496.1;weiss_matt
S_F_rechts_tuer;19.0;1345.3;481.8;weiss_matt
S_F_rechts_schub_oben_2;19.0;481.8;267.9;weiss_matt
S_F_links_schub_unten;19.0;995.2;248.9;weiss_matt
S_F_links_tuer_2;19.0;1616.2;496.1;weiss_matt
S_F_rechts_schub_unten;19.0;481.8;248.9;weiss_matt
